date,wind_speed_mean
2020-09-22,78.293274
2020-09-23,73.9443
2020-09-24,57.05604
2020-09-25,64.88028
2020-09-26,59.46807
2020-09-27,42.017353
2020-09-28,42.727055
2020-09-29,42.10096
2020-09-30,45.60107
2020-10-01,58.69221
2020-10-02,60.005634
2020-10-03,45.199253
2020-10-04,65.8971
2020-10-05,73.827034
2020-10-06,68.566536
2020-10-07,59.607166
2020-10-08,62.147602
2020-10-09,51.033245
2020-10-10,59.09402
2020-10-11,57.20934
2020-10-12,59.888794
2020-10-13,42.637043
2020-10-14,44.44426
2020-10-15,54.39204
2020-10-16,61.234863
2020-10-17,71.544495
2020-10-18,38.35655
2020-10-19,37.185524
2020-10-20,46.394
2020-10-21,48.45801
2020-10-22,65.48867
2020-10-23,63.273872
2020-10-24,47.301258
2020-10-25,63.804077
2020-10-26,41.13991
2020-10-27,47.974422
2020-10-28,54.022297
2020-10-29,58.893955
2020-10-30,57.918438
2020-10-31,73.98933
2020-11-01,57.724464
2020-11-02,58.22717
2020-11-03,57.475628
2020-11-04,59.901356
2020-11-05,54.649223
2020-11-06,60.62535
2020-11-07,57.496906
2020-11-08,54.229965
2020-11-09,59.156433
2020-11-10,66.486786
2020-11-11,64.18009
2020-11-12,49.821426
2020-11-13,58.901806
2020-11-14,66.34896
2020-11-15,73.83072
2020-11-16,70.198074
2020-11-17,68.04625
2020-11-18,72.34827
2020-11-19,62.32859
2020-11-20,68.74611
2020-11-21,68.62292
2020-11-22,72.304184
2020-11-23,73.71448
2020-11-24,61.09902
2020-11-25,64.763725
2020-11-26,54.557945
2020-11-27,58.516647
2020-11-28,57.640465
2020-11-29,61.516876
2020-11-30,60.175762
2020-12-01,52.96706
2020-12-02,48.462914
2020-12-03,44.32386
2020-12-04,60.18554
2020-12-05,76.44633
2020-12-06,75.2518
2020-12-07,79.62469
2020-12-08,65.33457
2020-12-09,68.50167
2020-12-10,67.86177
2020-12-11,65.3863
2020-12-12,72.5893
2020-12-13,66.71572
2020-12-14,67.90536
2020-12-15,60.97023
2020-12-16,63.053726
2020-12-17,70.75744
2020-12-18,70.287926
2020-12-19,77.36362
2020-12-20,70.057816
2020-12-21,61.276443
2020-12-22,67.103676
2020-12-23,62.559227
2020-12-24,64.72433
2020-12-25,78.64988
2020-12-26,73.00255
2020-12-27,66.4653
2020-12-28,67.01861
2020-12-29,70.80701
2020-12-30,62.985126
2020-12-31,60.582527
