date,suburb,tmin,tmax,prcp,humidity_mean,daily_temp_range,month,is_summer,hot_day,poor_cooling_proxy
2020-02-09,Parramatta,18.5,22.5,102.0,64.8022,4.0,2,1,0,0
2020-02-10,Parramatta,17.5,29.5,158.0,62.294487,12.0,2,1,1,1
2020-02-11,Parramatta,18.5,30.7,0.0,55.517094,12.2,2,1,1,1
2020-02-12,Parramatta,21.2,26.6,0.0,58.9033,5.400000000000002,2,1,1,1
2020-02-13,Parramatta,21.0,26.2,13.4,67.917465,5.199999999999999,2,1,1,1
2020-02-14,Parramatta,19.0,27.6,10.2,73.479294,8.600000000000001,2,1,1,1
2020-02-15,Parramatta,17.0,28.0,0.0,47.454147,11.0,2,1,1,0
2020-02-16,Parramatta,17.8,26.5,15.0,54.16628,8.7,2,1,1,1
2020-02-17,Parramatta,19.6,24.5,0.2,69.13908,4.899999999999999,2,1,0,0
2020-02-18,Parramatta,18.5,33.5,0.8,75.95354,15.0,2,1,1,1
2020-02-19,Parramatta,18.4,28.5,11.4,72.852066,10.100000000000001,2,1,1,1
2020-02-20,Parramatta,14.8,24.5,0.0,74.893005,9.7,2,1,0,0
2020-02-21,Parramatta,18.9,24.5,0.0,82.42736,5.600000000000001,2,1,0,0
2020-02-22,Parramatta,18.0,22.8,0.0,82.594345,4.800000000000001,2,1,0,0
2020-02-23,Parramatta,18.2,24.5,0.2,74.5943,6.300000000000001,2,1,0,0
2020-02-24,Parramatta,16.6,27.9,0.0,60.44539,11.299999999999997,2,1,1,0
2020-02-25,Parramatta,18.0,30.8,0.0,55.657944,12.8,2,1,1,1
2020-02-26,Parramatta,20.4,32.0,0.0,56.629948,11.600000000000001,2,1,1,1
2020-02-27,Parramatta,18.5,25.4,0.6,61.645454,6.899999999999999,2,1,0,0
2020-02-28,Parramatta,13.7,25.7,0.0,64.29486,12.0,2,1,1,0
2020-02-29,Parramatta,18.3,27.2,0.0,61.875866,8.899999999999999,2,1,1,1
2020-03-01,Parramatta,16.2,31.0,0.0,37.5741,14.8,3,0,1,0
2020-03-02,Parramatta,16.5,37.7,0.0,45.62505,21.200000000000003,3,0,1,0
2020-03-03,Parramatta,19.4,21.3,0.0,61.881447,1.9000000000000021,3,0,0,0
2020-03-04,Parramatta,17.9,25.0,19.8,57.768307,7.100000000000001,3,0,0,0
2020-03-05,Parramatta,19.6,24.5,6.4,40.873005,4.899999999999999,3,0,0,0
