date,suburb,tmax,tmin,daily_temp_range,night_start_time,night_min_time,night_start_temp,night_min_temp,night_hours_to_min,night_total_hours,night_cooling_rate,hot_day,cooling_failure,cooling_risk_category,humidity_mean,wind_speed_mean,air_pressure_mean,precipitation_total,month,is_summer
2020-01-22,Parramatta,31.041351,18.579193,12.462157999999999,2020-01-22 18:00:00,2020-01-22 18:00:00,19.794037,19.794037,0.0,11.0,0.0,1,1,Extreme risk,68.22899325,1.8480923279166666,1002.2328349999999,0.0,1,1
2020-01-23,Parramatta,39.068207,20.551422,18.516785000000002,2020-01-23 18:00:00,2020-01-23 18:00:00,23.10434,23.10434,0.0,11.0,0.0,1,1,Extreme risk,55.10157908333334,4.239808129166667,997.61702375,0.0,1,1
2020-01-24,Parramatta,41.11862,23.680908,17.437712,2020-01-24 18:00:00,2020-01-24 20:00:00,24.46762,23.680908,2.0,11.0,0.3933560000000007,1,0,Low risk,47.526847874999994,3.754177004166667,996.3782116666666,0.7548332245999999,1,1
2020-01-25,Parramatta,27.72116,23.2406,4.4805600000000005,2020-01-25 18:00:00,2020-01-25 19:00:00,23.368378,23.2406,1.0,11.0,0.12777799999999928,1,0,Low risk,72.74533141666667,2.5354359416666665,1005.2413541666666,1.6326904153000001,1,1
2020-01-26,Parramatta,34.14334,23.743988,10.399352,2020-01-26 18:00:00,2020-01-26 19:00:00,24.029572,23.743988,1.0,11.0,0.28558400000000006,1,0,Low risk,79.052744375,1.9254572266666667,1004.5053645833333,0.2613067547,1,1
2020-01-27,Parramatta,35.210785,23.264435,11.946350000000002,2020-01-27 18:00:00,2020-01-27 19:00:00,23.484802,23.264435,1.0,11.0,0.22036699999999954,1,0,Low risk,67.67554162500001,3.2580329124999996,1004.4814470833334,1.22880933586,1,1
2020-01-28,Parramatta,30.617065,22.644196,7.972868999999999,2020-01-28 18:00:00,2020-01-28 18:00:00,23.49936,23.49936,0.0,11.0,0.0,1,1,Extreme risk,75.99957620833334,2.0007279979166666,1004.7405454166666,0.0104904175,1,1
2020-01-29,Parramatta,32.123535,22.858032,9.265502999999995,2020-01-29 18:00:00,2020-01-29 18:00:00,22.858032,22.858032,0.0,11.0,0.0,1,1,Extreme risk,75.111408,3.834300045833333,1005.9181916666666,1.3318061745,1,1
2020-01-30,Parramatta,27.878204,18.664337,9.213867,2020-01-30 18:00:00,2020-01-30 18:00:00,19.7471,19.7471,0.0,11.0,0.0,1,1,Extreme risk,74.74778804166667,2.1704328604166667,1009.5465779166666,0.17976760162,1,1
2020-01-31,Parramatta,31.8013,21.74643,10.054870000000001,2020-01-31 18:00:00,2020-01-31 18:00:00,22.831238,22.831238,0.0,11.0,0.0,1,1,Extreme risk,75.348973875,2.4881004670833335,1007.1115962499999,0.0,1,1
2020-02-01,Parramatta,39.9328,23.91568,16.017120000000002,2020-02-01 18:00:00,2020-02-01 18:00:00,24.622711,24.622711,0.0,11.0,0.0,1,1,Extreme risk,65.78156491666667,2.8437522708333334,1003.6140845833334,0.0,2,1
