model,accuracy,cooling_failure_precision,cooling_failure_recall,cooling_failure_f1,roc_auc
Logistic Regression baseline,0.830804248861912,0.6118143459915611,0.8814589665653495,0.7222914072229141,
Random Forest final,0.8482549317147192,0.656934306569343,0.8206686930091185,0.7297297297297297,0.9146416047648758
Random Forest 5-fold CV mean,0.8402754164349462,0.6376734714290252,0.8466174348527289,0.7264384510424443,0.9236771366668011
