feature,importance
tmax,0.3691752007487695
tmin,0.25638396843831834
wind_speed_mean,0.09069404493755268
air_pressure_mean,0.08219138997249244
month,0.07448774498404728
humidity_mean,0.051231248297689644
is_summer,0.041886898723839536
daily_temp_range,0.033949503897290546
precipitation_total,0.0
