feature,importance
tmax,0.6161124129283465
tmin,0.14873269287258312
daily_temp_range,0.09608752840875179
humidity_mean,0.04671017933646677
air_pressure_mean,0.03528751878502799
month,0.017905673395411784
precipitation_total,0.01581578729974221
wind_speed_mean,0.014526521859909878
is_summer,0.00882168511376
